"municipio","lat","lon","fuerza_senador","fuerza_diputado"
"Las Garcitas","-26.628901762138252","-59.77364112761143","FUERZA PATRIA","FUERZA PATRIA"
"Basail","-27.77348505114325","-59.166017806437786","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Fontana","-27.413309554452468","-59.020019911036215","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Cote Lai","-27.58529599771961","-59.67400870076605","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Puerto Vilelas","-27.623322387728503","-58.936098079545346","FUERZA PATRIA","FUERZA PATRIA"
"Samuhú","-27.6189424450091","-60.39795209101756","FUERZA PATRIA","FUERZA PATRIA"
"Charadai","-27.606796165600066","-59.76941543559368","FUERZA PATRIA","FUERZA PATRIA"
"Machagai","-26.725825410544722","-59.98531018204071","FUERZA PATRIA","FUERZA PATRIA"
"Pampa Almirón","-26.57957766102185","-59.007159192553424","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Colonia Aborigen","-27.05576570114325","-60.10656066842466","FUERZA PATRIA","FUERZA PATRIA"
